LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2003.305,1.0,77.881,44,Mercedes,SUPERSOFT,4.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,80.187,33,Red Bull Racing,SUPERSOFT,4.0,1,1.0,,,OutLap,False,0,5.0,2.428,0.633,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,86.323,18,Williams,SOFT,1.0,1,1.0,,,OutLap,False,0,18.0,8.663,0.245,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,85.634,14,McLaren,SOFT,1.0,1,1.0,,,OutLap,False,0,16.0,7.907,0.034,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,86.108,35,Williams,SOFT,1.0,1,1.0,,,OutLap,False,0,17.0,8.418,0.511,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,79.536,7,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,4.0,1.795,0.487,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,86.538,31,Racing Point,SOFT,1.0,1,1.0,,,OutLap,False,0,19.0,8.917,0.254,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,87.183,2,McLaren,SOFT,1.0,1,1.0,,,OutLap,False,0,20.0,9.446,0.529,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,84.806,27,Renault,SOFT,1.0,1,1.0,,,OutLap,False,0,14.0,7.08,0.324,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,82.148,10,Toro Rosso,SUPERSOFT,5.0,1,1.0,,,OutLap,False,0,8.0,4.379,0.594,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,84.498,55,Renault,SOFT,1.0,1,1.0,,,OutLap,False,0,13.0,6.756,0.452,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,85.676,28,Toro Rosso,MEDIUM,1.0,1,1.0,,,OutLap,False,0,15.0,7.873,0.793,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,78.487,77,Mercedes,SUPERSOFT,4.0,1,1.0,,,OutLap,False,0,2.0,0.73,0.73,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,84.014,11,Racing Point,SUPERSOFT,1.0,1,1.0,,,OutLap,False,0,12.0,6.304,0.542,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,83.506,20,Haas F1 Team,SOFT,1.0,1,1.0,,,OutLap,False,0,11.0,5.762,0.481,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,81.535,8,Haas F1 Team,SUPERSOFT,4.0,1,1.0,,,OutLap,False,0,7.0,3.785,0.666,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,79.092,5,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,3.0,1.308,0.578,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,82.981,3,Red Bull Racing,SUPERSOFT,4.0,1,1.0,,,OutLap,False,0,10.0,5.281,0.31,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,82.707,9,Sauber,SUPERSOFT,6.0,1,1.0,,,OutLap,False,0,9.0,4.971,0.592,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2003.305,1.0,80.854,16,Sauber,SUPERSOFT,6.0,1,1.0,,,OutLap,False,0,6.0,3.119,0.691,0,20,São Paulo,71.0,2018,24.9,70.5,924.1,False,41.3,154,1.0
2081.418,2.0,74.771,44,Mercedes,SUPERSOFT,5.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2082.024,2.0,75.046,77,Mercedes,SUPERSOFT,5.0,1,1.0,39.12999999999283,44,NoPit,True,0,2.0,0.933,0.933,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2082.629,2.0,75.054,5,Ferrari,SOFT,5.0,1,1.0,66.76944444445144,77,NoPit,True,0,3.0,1.52,0.587,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2083.073,2.0,75.045,7,Ferrari,SOFT,5.0,1,1.0,28.308611111109713,5,NoPit,True,0,4.0,1.986,0.466,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2083.724,2.0,74.517,33,Red Bull Racing,SUPERSOFT,5.0,1,1.0,48.1775000000016,7,NoPit,True,0,5.0,2.197,0.211,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2084.391,2.0,75.204,16,Sauber,SUPERSOFT,7.0,1,1.0,31.857777777773663,33,NoPit,True,0,6.0,3.447,1.25,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
2085.072,2.0,75.305,8,Haas F1 Team,SUPERSOFT,5.0,1,1.0,44.63888888888687,16,NoPit,True,0,7.0,4.222,0.775,0,20,São Paulo,71.0,2018,24.7,70.6,924.2,False,41.2,202,2.4
