LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1115.334,1.0,143.334,44,Mercedes,nan,,24,,,,OutLap,False,0,1.0,0.0,0.0,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,165.644,20,Haas F1 Team,nan,,24,,,,OutLap,False,0,15.0,22.963,2.046,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,144.278,5,Ferrari,nan,,24,,,,OutLap,False,0,2.0,0.944,0.944,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,166.773,28,Toro Rosso,nan,,24,,,,OutLap,False,0,16.0,24.072,1.109,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,150.503,11,Racing Point,nan,,24,,,,OutLap,False,0,7.0,6.607,1.294,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,146.833,77,Mercedes,nan,,24,,,,OutLap,False,0,4.0,3.499,1.472,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,151.724,8,Haas F1 Team,nan,,24,,,,OutLap,False,0,8.0,7.728,1.121,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,145.361,33,Red Bull Racing,nan,,24,,,,OutLap,False,0,3.0,1.695,0.971,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,171.298,18,Williams,nan,,24,,,,OutLap,False,0,19.0,28.638,1.506,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,148.568,7,Ferrari,nan,,24,,,,OutLap,False,0,5.0,5.234,1.735,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,158.072,10,Toro Rosso,nan,,24,,,,OutLap,False,0,12.0,15.004,2.822,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,169.751,2,McLaren,nan,,24,,,,OutLap,False,0,18.0,27.132,1.894,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,152.992,14,McLaren,nan,,24,,,,OutLap,False,0,9.0,9.025,1.297,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,163.605,9,Sauber,nan,,24,,,,OutLap,False,0,14.0,20.917,1.91,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,154.075,55,Renault,nan,,24,,,,OutLap,False,0,10.0,10.741,1.083,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,155.462,27,Renault,nan,,24,,,,OutLap,False,0,11.0,12.182,2.358,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,161.729,16,Sauber,nan,,24,,,,OutLap,False,0,13.0,19.007,4.003,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,149.326,3,Red Bull Racing,nan,,24,,,,OutLap,False,0,6.0,5.992,0.758,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1115.334,1.0,167.905,35,Williams,nan,,24,,,,OutLap,False,0,17.0,25.238,1.166,0,15,Singapore,61.0,2018,29.9,65.2,1007.3,False,34.2,180,1.4
1258.91,2.0,,44,Mercedes,nan,,4,,,,NoPit,False,0,1.0,0.0,0.0,0,15,Singapore,61.0,2018,30.0,64.4,1007.5,False,34.0,174,1.6
1259.854,2.0,,5,Ferrari,HYPERSOFT,4.0,4,1.0,45.15083333334769,44,NoPit,False,0,2.0,2.058,2.058,0,15,Singapore,61.0,2018,30.0,64.4,1007.5,False,34.0,174,1.6
1260.937,2.0,,33,Red Bull Racing,HYPERSOFT,4.0,4,1.0,9.24416666666093,5,NoPit,False,0,3.0,3.591,1.533,0,15,Singapore,61.0,2018,30.0,64.4,1007.5,False,34.0,174,1.6
1262.409,2.0,,77,Mercedes,HYPERSOFT,4.0,4,1.0,121.61944444444543,33,NoPit,False,0,4.0,4.461,0.87,0,15,Singapore,61.0,2018,30.0,64.4,1007.5,False,34.0,174,1.6
1264.144,2.0,,7,Ferrari,HYPERSOFT,4.0,4,1.0,66.34750000000349,77,NoPit,False,0,5.0,5.615,1.154,0,15,Singapore,61.0,2018,30.0,64.4,1007.5,False,34.0,174,1.6
1264.902,2.0,,3,Red Bull Racing,HYPERSOFT,4.0,4,1.0,16.221666666660894,7,NoPit,False,0,6.0,6.27,0.655,0,15,Singapore,61.0,2018,29.9,64.5,1007.4,False,33.7,184,1.3
1266.079,2.0,,11,Racing Point,HYPERSOFT,4.0,4,1.0,40.71444444444296,3,NoPit,False,0,7.0,7.235,0.965,0,15,Singapore,61.0,2018,29.9,64.5,1007.4,False,33.7,184,1.3
1267.3,2.0,,8,Haas F1 Team,HYPERSOFT,4.0,4,1.0,4.932222222221753,14,NoPit,False,0,8.0,8.708,1.473,0,15,Singapore,61.0,2018,29.9,64.5,1007.4,False,33.7,184,1.3
