LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1972.408,1.0,76.629,33,Red Bull Racing,MEDIUM,4.0,1,1.0,,,OutLap,False,0,7.0,5.067,0.261,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,71.551,16,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,82.019,26,Toro Rosso,MEDIUM,1.0,1,1.0,,,OutLap,False,0,19.0,10.426,0.366,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,80.207,8,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,0,15.0,8.595,0.524,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,80.976,88,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,16.0,9.349,0.754,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,81.634,23,Toro Rosso,MEDIUM,1.0,1,1.0,,,OutLap,False,0,18.0,10.06,0.392,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,72.813,77,Mercedes,MEDIUM,4.0,1,1.0,,,OutLap,False,0,2.0,1.269,1.269,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,79.306,18,Racing Point,MEDIUM,1.0,1,1.0,,,OutLap,False,0,13.0,7.745,0.4,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,82.907,63,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,1,20.0,11.3,0.874,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,78.932,27,Renault,MEDIUM,1.0,1,1.0,,,OutLap,False,0,12.0,7.345,0.664,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,79.673,3,Renault,MEDIUM,1.0,1,1.0,,,OutLap,False,0,14.0,8.071,0.326,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,78.25,11,Racing Point,MEDIUM,1.0,1,1.0,,,OutLap,False,0,11.0,6.681,0.413,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,73.741,44,Mercedes,MEDIUM,5.0,1,1.0,,,OutLap,False,0,3.0,2.194,0.925,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,77.374,99,Alfa Romeo Racing,SOFT,4.0,1,1.0,,,OutLap,False,0,9.0,5.831,0.381,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,75.308,7,Alfa Romeo Racing,SOFT,4.0,1,1.0,,,OutLap,False,0,4.0,3.734,1.54,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,81.198,55,McLaren,MEDIUM,1.0,1,1.0,,,OutLap,False,0,17.0,9.668,0.319,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,76.04,4,McLaren,SOFT,4.0,1,1.0,,,OutLap,False,0,5.0,4.463,0.729,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,76.365,5,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,6.0,4.806,0.343,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,77.891,20,Haas F1 Team,SOFT,4.0,1,1.0,,,OutLap,False,0,10.0,6.268,0.437,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1.0,77.049,10,Red Bull Racing,SOFT,4.0,1,1.0,,,OutLap,False,0,8.0,5.45,0.383,0,9,Spielberg,71.0,2019,33.9,19.4,941.0,False,51.3,328,0.9
2044.178,2.0,69.282,16,Ferrari,SOFT,5.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2045.44,2.0,69.891,77,Mercedes,MEDIUM,5.0,1,1.0,91.4266666666681,16,NoPit,True,0,2.0,1.88,1.88,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2046.368,2.0,70.327,44,Mercedes,MEDIUM,6.0,1,1.0,68.93555555555304,77,NoPit,True,0,3.0,3.257,1.377,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2047.935,2.0,70.996,7,Alfa Romeo Racing,SOFT,5.0,1,1.0,91.21722222222616,44,NoPit,True,0,4.0,5.429,2.172,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2048.667,2.0,71.101,4,McLaren,SOFT,5.0,1,1.0,10.467500000001564,5,NoPit,True,0,5.0,6.317,0.888,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2048.992,2.0,71.29,5,Ferrari,SOFT,5.0,1,1.0,81.5066666666653,7,NoPit,True,0,6.0,6.836,0.519,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2049.256,2.0,71.495,33,Red Bull Racing,MEDIUM,5.0,1,1.0,16.543333333333067,10,NoPit,True,0,7.0,7.3,0.464,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2049.676,2.0,72.107,10,Red Bull Racing,SOFT,5.0,1,1.0,52.37888888889029,4,NoPit,True,0,8.0,8.303,1.003,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
2050.001,2.0,72.571,99,Alfa Romeo Racing,SOFT,5.0,1,1.0,1.3908333333320115,33,NoPit,True,0,9.0,9.112,0.809,0,9,Spielberg,71.0,2019,33.9,19.8,941.0,False,51.2,260,1.2
