LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1988.644,1.0,94.895,44,Mercedes,MEDIUM,5.0,1,1.0,,,OutLap,False,0,2.0,0.434,0.434,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,97.36,5,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,5.0,2.947,0.673,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,105.665,88,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,18.0,11.204,1.203,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,104.462,63,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,17.0,10.001,0.821,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,94.461,77,Mercedes,MEDIUM,6.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,103.173,18,Racing Point,MEDIUM,1.0,1,1.0,,,OutLap,False,0,15.0,8.712,0.37,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,100.608,23,Toro Rosso,SOFT,6.0,1,1.0,,,OutLap,False,0,10.0,6.147,0.416,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,102.803,11,Racing Point,MEDIUM,1.0,1,1.0,,,OutLap,False,0,14.0,8.337,0.477,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,99.321,4,McLaren,SOFT,4.0,1,1.0,,,OutLap,False,0,7.0,4.864,1.097,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,103.641,26,Toro Rosso,SOFT,1.0,1,1.0,,,OutLap,False,0,16.0,9.18,0.468,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,102.014,7,Alfa Romeo Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,12.0,7.553,0.703,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
1988.644,1.0,96.045,16,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,3.0,1.573,1.108,0,10,Silverstone,52.0,2019,18.9,64.5,1006.4,False,32.5,27,1.6
