LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1984.006,1.0,82.018,44,Mercedes,MEDIUM,4.0,2,1.0,,,OutLap,False,0,2.0,1.206,1.206,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,92.719,63,Williams,MEDIUM,1.0,2,1.0,,,OutLap,False,0,15.0,11.792,1.198,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,88.76,26,Toro Rosso,MEDIUM,1.0,2,1.0,,,OutLap,False,0,10.0,7.869,0.384,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,93.798,7,Alfa Romeo Racing,MEDIUM,1.0,2,1.0,,,OutLap,False,0,17.0,12.894,0.598,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,98.531,20,Haas F1 Team,HARD,1.0,2,1.0,,,OutLap,False,1,19.0,17.633,3.402,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,91.449,18,Racing Point,HARD,1.0,2,1.0,,,OutLap,False,0,14.0,10.594,0.656,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,93.207,88,Williams,MEDIUM,1.0,2,1.0,,,OutLap,False,0,16.0,12.296,0.504,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,80.816,5,Ferrari,MEDIUM,6.0,2,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,85.163,10,Red Bull Racing,SOFT,4.0,2,1.0,,,OutLap,False,0,5.0,4.311,0.914,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,90.218,11,Racing Point,MEDIUM,1.0,2,1.0,,,OutLap,False,0,12.0,9.279,0.892,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,89.212,55,McLaren,SOFT,4.0,2,1.0,,,OutLap,False,0,11.0,8.387,0.518,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,126.344,23,Toro Rosso,MEDIUM,1.0,2,1.0,,,OutLap,False,0,20.0,14.048,0.396,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1.0,84.28,3,Renault,SOFT,4.0,2,1.0,,,OutLap,False,0,4.0,3.397,0.755,0,7,Montréal,70.0,2019,28.5,17.5,1022.2,False,51.6,197,0.4
