LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1981.144,1.0,99.041,44,Mercedes,MEDIUM,4.0,6,1.0,,,OutLap,False,0,5.0,9.107,3.328,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,110.337,18,Racing Point,MEDIUM,1.0,6,1.0,,,OutLap,False,0,14.0,19.384,0.509,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,105.296,26,Toro Rosso,SOFT,4.0,6,1.0,,,OutLap,False,0,9.0,14.463,1.254,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,115.037,63,Williams,MEDIUM,1.0,6,1.0,,,OutLap,False,0,19.0,24.382,0.888,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,109.482,27,Renault,MEDIUM,1.0,6,1.0,,,OutLap,False,0,13.0,18.875,0.626,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,92.867,5,Ferrari,MEDIUM,4.0,6,1.0,,,OutLap,False,0,2.0,2.622,2.622,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,106.554,10,Toro Rosso,SOFT,4.0,6,1.0,,,OutLap,False,0,10.0,15.861,1.398,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,113.852,20,Haas F1 Team,MEDIUM,1.0,6,1.0,,,OutLap,False,0,17.0,22.869,0.828,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,108.81,3,Renault,HARD,1.0,6,1.0,,,OutLap,False,0,12.0,18.249,1.01,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,114.406,88,Williams,MEDIUM,1.0,6,1.0,,,OutLap,False,0,18.0,23.494,0.625,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,103.698,33,Red Bull Racing,MEDIUM,4.0,6,1.0,,,OutLap,False,0,8.0,13.209,0.767,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,101.168,4,McLaren,SOFT,4.0,6,1.0,,,OutLap,False,0,6.0,11.538,2.431,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,102.468,77,Mercedes,MEDIUM,4.0,6,1.0,,,OutLap,False,0,7.0,12.442,0.904,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,93.73,23,Red Bull Racing,MEDIUM,4.0,6,1.0,,,OutLap,False,0,3.0,3.707,1.085,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1.0,112.968,7,Alfa Romeo Racing,MEDIUM,1.0,6,1.0,,,OutLap,False,0,16.0,22.041,1.61,0,18,Mexico City,71.0,2019,22.4,47.7,781.0,False,40.8,120,2.5
