LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1977.486,1.0,95.67,44,Mercedes,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,104.472,55,McLaren,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,8.0,8.815,0.7,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,105.692,3,Renault,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,9.0,10.024,1.209,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,110.274,63,Williams,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,16.0,14.544,0.924,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,98.777,18,Racing Point,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,2.0,3.14,3.14,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,108.287,10,AlphaTauri,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,13.0,12.673,0.772,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,117.638,20,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,1,19.0,21.968,6.168,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,111.47,99,Alfa Romeo Racing,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,18.0,15.807,0.942,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,99.556,33,Red Bull Racing,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,3.0,3.974,0.834,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,103.895,11,Racing Point,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,7.0,8.225,1.498,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,107.053,6,Williams,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,10.0,11.399,1.375,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,111.084,26,AlphaTauri,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,12.0,12.371,0.077,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,100.746,5,Ferrari,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,4.0,5.076,1.19,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,101.753,16,Ferrari,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,5.0,6.186,1.077,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,119.075,8,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,1,20.0,23.405,1.437,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,108.972,4,McLaren,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,14.0,13.266,0.418,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,110.545,31,nan,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,17.0,14.875,0.271,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,107.561,23,Red Bull Racing,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,11.0,11.901,0.502,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,109.757,7,Alfa Romeo Racing,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,15.0,13.827,0.561,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
1977.486,1.0,102.397,77,Mercedes,INTERMEDIATE,1.0,1,1.0,,,OutLap,False,0,6.0,6.875,0.689,0,3,Budapest,70.0,2020,21.6,78.1,986.3,False,28.6,168,1.2
