LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1963.624,1.0,100.485,11,Racing Point,SOFT,4.0,24,1.0,,,OutLap,False,0,17.0,28.923,0.013,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,80.518,18,Racing Point,SOFT,4.0,24,1.0,,,OutLap,False,0,6.0,11.446,1.191,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,96.641,51,Haas F1 Team,SOFT,1.0,24,1.0,,,OutLap,False,0,16.0,27.581,1.467,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,74.191,55,McLaren,SOFT,4.0,24,1.0,,,OutLap,False,0,3.0,5.227,2.132,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,78.025,3,Renault,SOFT,4.0,24,1.0,,,OutLap,False,0,4.0,8.848,3.621,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,95.051,89,Williams,MEDIUM,1.0,24,1.0,,,OutLap,False,0,15.0,26.114,1.373,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,92.043,23,Red Bull Racing,MEDIUM,1.0,24,1.0,,,OutLap,False,0,12.0,22.953,1.393,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,93.729,6,Williams,SOFT,1.0,24,1.0,,,OutLap,False,0,14.0,24.741,0.993,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,90.611,20,Haas F1 Team,SOFT,1.0,24,1.0,,,OutLap,False,0,11.0,21.56,1.435,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,72.014,77,Mercedes,MEDIUM,5.0,24,1.0,,,OutLap,False,0,2.0,3.095,3.095,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,98.03,7,Alfa Romeo Racing,MEDIUM,1.0,24,1.0,,,OutLap,False,0,18.0,28.91,1.329,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,68.922,63,Mercedes,MEDIUM,5.0,24,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,92.831,99,Alfa Romeo Racing,MEDIUM,1.0,24,1.0,,,OutLap,False,0,13.0,23.748,0.795,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,89.104,4,McLaren,SOFT,1.0,24,1.0,,,OutLap,False,0,10.0,20.125,2.647,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,82.823,10,AlphaTauri,SOFT,4.0,24,1.0,,,OutLap,False,0,7.0,13.818,2.372,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,79.601,26,AlphaTauri,SOFT,4.0,24,1.0,,,OutLap,False,0,5.0,10.255,1.407,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,84.225,31,Renault,MEDIUM,1.0,24,1.0,,,OutLap,False,0,8.0,15.036,1.218,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,86.79,5,Ferrari,MEDIUM,3.0,24,1.0,,,OutLap,False,0,9.0,17.478,2.442,0,16,Sakhir,87.0,2020,21.1,58.8,1015.7,False,23.8,7,2.1
2032.706,2.0,98.421,63,Mercedes,MEDIUM,6.0,4,1.0,,,NoPit,False,0,1.0,0.0,0.0,0,16,Sakhir,87.0,2020,21.1,58.7,1015.7,False,23.8,8,2.3
