LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2006.325,1.0,131.904,44,Mercedes,WET,1.0,2,1.0,,,OutLap,False,0,6.0,11.638,0.845,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,144.084,8,Haas F1 Team,WET,2.0,2,1.0,,,OutLap,False,0,16.0,23.534,0.531,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,137.492,20,Haas F1 Team,WET,3.0,2,1.0,,,OutLap,False,0,10.0,16.864,1.486,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,123.644,11,Racing Point,WET,2.0,2,1.0,,,OutLap,False,0,2.0,3.627,3.627,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,147.98,63,Williams,INTERMEDIATE,1.0,2,1.0,,,OutLap,False,1,17.0,28.007,3.896,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,134.918,7,Alfa Romeo Racing,WET,10.0,2,1.0,,,OutLap,False,0,8.0,14.945,2.3,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,148.432,77,Mercedes,WET,1.0,2,1.0,,,OutLap,False,0,18.0,28.568,1.093,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,140.954,10,AlphaTauri,WET,5.0,2,1.0,,,OutLap,False,0,13.0,20.981,1.455,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,158.785,6,Williams,INTERMEDIATE,1.0,2,1.0,,,OutLap,False,1,20.0,38.135,6.214,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,139.499,26,AlphaTauri,WET,2.0,2,1.0,,,OutLap,False,0,12.0,19.526,1.737,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,153.513,31,Renault,WET,10.0,2,1.0,,,OutLap,False,0,19.0,31.718,1.426,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,132.618,3,Renault,WET,12.0,2,1.0,,,OutLap,False,0,7.0,12.332,0.694,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,119.973,18,Racing Point,WET,3.0,2,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,143.668,4,McLaren,WET,2.0,2,1.0,,,OutLap,False,0,15.0,23.003,1.977,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,141.526,16,Ferrari,WET,3.0,2,1.0,,,OutLap,False,0,14.0,21.026,0.438,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,131.074,23,Red Bull Racing,WET,1.0,2,1.0,,,OutLap,False,0,5.0,10.793,1.17,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,129.685,33,Red Bull Racing,WET,15.0,2,1.0,,,OutLap,False,0,4.0,9.712,1.029,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
2006.325,1.0,128.656,5,Ferrari,WET,3.0,2,1.0,,,OutLap,False,0,3.0,8.683,5.012,0,14,Istanbul,58.0,2020,12.7,83.0,1008.7,False,15.8,242,1.2
