LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3723.441,1.0,104.815,33,Red Bull Racing,MEDIUM,4.0,24,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,134.035,77,Mercedes,MEDIUM,6.0,24,1.0,,,OutLap,False,0,18.0,27.793,0.749,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,130.437,18,Aston Martin,MEDIUM,3.0,24,1.0,,,OutLap,False,0,17.0,27.044,1.434,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,106.593,44,Mercedes,MEDIUM,4.0,24,1.0,,,OutLap,False,0,2.0,1.091,1.091,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,127.654,31,Alpine,SOFT,1.0,24,1.0,,,OutLap,False,0,15.0,22.839,1.772,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,122.852,9,Haas F1 Team,MEDIUM,1.0,24,1.0,,,OutLap,False,0,11.0,19.147,2.214,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,129.523,3,McLaren,MEDIUM,4.0,24,1.0,,,OutLap,False,0,14.0,23.236,1.556,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,118.711,63,Williams,MEDIUM,1.0,24,1.0,,,OutLap,False,0,9.0,15.22,2.97,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,113.07,99,Alfa Romeo Racing,MEDIUM,5.0,24,1.0,,,OutLap,False,0,6.0,9.745,2.841,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
3723.441,1.0,129.119,4,McLaren,MEDIUM,4.0,24,1.0,,,OutLap,False,0,16.0,24.304,1.465,0,18,Mexico City,71.0,2021,20.8,31.1,784.4,False,47.5,297,0.4
