LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3768.573,1.0,93.76,44,Mercedes,MEDIUM,4.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,103.751,99,Alfa Romeo Racing,SOFT,1.0,1,1.0,,,OutLap,False,0,14.0,10.113,0.697,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,102.464,7,Alfa Romeo Racing,SOFT,1.0,1,1.0,,,OutLap,False,0,12.0,8.808,0.55,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,100.382,22,AlphaTauri,SOFT,4.0,1,1.0,,,OutLap,False,0,8.0,6.705,0.583,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,105.752,6,Williams,SOFT,1.0,1,1.0,,,OutLap,False,0,19.0,12.142,0.233,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,97.292,33,Red Bull Racing,MEDIUM,4.0,1,1.0,,,OutLap,False,0,4.0,3.576,0.689,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,104.471,3,McLaren,MEDIUM,1.0,1,1.0,,,OutLap,False,0,16.0,10.904,0.303,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,96.603,10,AlphaTauri,SOFT,4.0,1,1.0,,,OutLap,False,0,3.0,2.887,1.036,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,104.759,5,Aston Martin,SOFT,4.0,1,1.0,,,OutLap,False,0,17.0,11.2,0.296,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,98.135,4,McLaren,SOFT,4.0,1,1.0,,,OutLap,False,0,5.0,4.481,0.905,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,103.059,16,Ferrari,MEDIUM,1.0,1,1.0,,,OutLap,False,0,13.0,9.416,0.608,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,99.804,55,Ferrari,MEDIUM,4.0,1,1.0,,,OutLap,False,0,7.0,6.122,0.892,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,101.898,77,Mercedes,MEDIUM,4.0,1,1.0,,,OutLap,False,0,11.0,8.258,0.498,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,95.613,14,Alpine,SOFT,4.0,1,1.0,,,OutLap,False,0,2.0,1.851,1.851,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,101.296,18,Aston Martin,MEDIUM,1.0,1,1.0,,,OutLap,False,0,10.0,7.76,0.315,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,98.931,31,Alpine,SOFT,4.0,1,1.0,,,OutLap,False,0,6.0,5.23,0.749,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,105.606,47,Haas F1 Team,SOFT,4.0,1,1.0,,,OutLap,False,0,18.0,11.909,0.709,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,104.238,63,Williams,SOFT,1.0,1,1.0,,,OutLap,False,0,15.0,10.601,0.488,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,101.182,11,Red Bull Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,9.0,7.445,0.74,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
3768.573,1.0,106.318,9,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,0,20.0,12.677,0.535,0,20,Lusail,57.0,2021,26.4,74.9,1012.1,False,30.9,105,0.6
