LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1985.677,1.0,72.767,33,Red Bull Racing,MEDIUM,6.0,2,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,75.588,11,Red Bull Racing,SOFT,4.0,2,1.0,,,OutLap,False,0,4.0,2.813,0.798,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,74.772,4,McLaren,SOFT,4.0,2,1.0,,,OutLap,False,0,3.0,2.015,1.048,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,79.536,55,Ferrari,MEDIUM,1.0,2,1.0,,,OutLap,False,0,12.0,6.768,0.31,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,80.376,16,Ferrari,SOFT,4.0,2,1.0,,,OutLap,False,0,6.0,4.633,1.548,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,77.559,18,Aston Martin,SOFT,4.0,2,1.0,,,OutLap,False,0,7.0,4.81,1.44,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,78.154,14,Alpine,SOFT,4.0,2,1.0,,,OutLap,False,0,8.0,5.363,0.553,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,79.228,22,AlphaTauri,SOFT,4.0,2,1.0,,,OutLap,False,0,11.0,6.458,0.184,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,76.145,77,Mercedes,MEDIUM,4.0,2,1.0,,,OutLap,False,0,5.0,3.37,0.557,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,80.271,7,Alfa Romeo Racing,HARD,1.0,2,1.0,,,OutLap,False,0,14.0,7.488,0.459,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,79.085,3,McLaren,MEDIUM,1.0,2,1.0,,,OutLap,False,0,10.0,6.274,0.497,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,80.716,31,Alpine,MEDIUM,1.0,2,1.0,,,OutLap,False,0,15.0,7.908,0.42,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,83.17,99,Alfa Romeo Racing,MEDIUM,1.0,2,1.0,,,OutLap,False,0,18.0,10.377,1.605,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,81.602,47,Haas F1 Team,MEDIUM,1.0,2,1.0,,,OutLap,False,0,17.0,8.772,0.374,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
1985.677,1.0,115.792,6,Williams,MEDIUM,1.0,2,1.0,,,OutLap,False,0,19.0,35.354,30.721,0,8,Spielberg,71.0,2021,26.4,34.8,938.4,False,51.7,111,0.1
