LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3730.161,1.0,,1,Red Bull Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,77,Alfa Romeo,HARD,1.0,1,1.0,,,OutLap,False,0,20.0,10.79,0.48,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,11,Red Bull Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,2.0,1.053,1.053,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,10,AlphaTauri,SOFT,1.0,1,1.0,,,OutLap,False,0,18.0,9.852,0.312,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,20,Haas F1 Team,HARD,1.0,1,1.0,,,OutLap,False,0,16.0,9.002,0.636,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,24,Alfa Romeo,MEDIUM,1.0,1,1.0,,,OutLap,False,0,15.0,8.366,0.371,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,18,Aston Martin,MEDIUM,1.0,1,1.0,,,OutLap,False,0,12.0,6.974,0.434,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,16,Ferrari,MEDIUM,1.0,1,1.0,,,OutLap,False,0,3.0,1.994,0.941,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,23,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,17.0,9.54,0.538,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,3,McLaren,MEDIUM,1.0,1,1.0,,,OutLap,False,0,14.0,7.957,0.479,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,22,AlphaTauri,MEDIUM,1.0,1,1.0,,,OutLap,False,0,11.0,6.54,0.545,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,14,Alpine,MEDIUM,1.0,1,1.0,,,OutLap,False,0,10.0,5.995,0.738,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,55,Ferrari,MEDIUM,1.0,1,1.0,,,OutLap,False,0,5.0,3.238,0.572,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,5,Aston Martin,MEDIUM,1.0,1,1.0,,,OutLap,False,0,9.0,5.257,0.491,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,31,Alpine,MEDIUM,1.0,1,1.0,,,OutLap,False,0,8.0,4.766,0.458,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,4,McLaren,MEDIUM,1.0,1,1.0,,,OutLap,False,0,6.0,3.71,0.472,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,44,Mercedes,MEDIUM,1.0,1,1.0,,,OutLap,False,0,4.0,2.666,0.672,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,47,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,0,13.0,7.525,0.551,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,6,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,19.0,10.31,0.458,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3730.161,1.0,,63,Mercedes,MEDIUM,1.0,1,1.0,,,OutLap,False,0,7.0,4.308,0.598,0,22,Yas Island,58.0,2022,28.8,61.0,1013.4,False,34.8,48,2.7
3822.621,2.0,90.541,1,Red Bull Racing,MEDIUM,2.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3823.674,2.0,90.579,11,Red Bull Racing,MEDIUM,2.0,1,1.0,76.39722222222554,1,NoPit,True,0,2.0,1.091,1.091,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3824.615,2.0,90.996,16,Ferrari,MEDIUM,2.0,1,1.0,22.94027777777228,11,NoPit,True,0,3.0,2.449,1.358,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3825.859,2.0,91.332,55,Ferrari,MEDIUM,2.0,1,1.0,32.31027777777763,44,NoPit,True,0,5.0,4.029,0.81,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3826.331,2.0,91.693,4,McLaren,MEDIUM,2.0,1,1.0,3.881111111109931,55,NoPit,True,0,6.0,4.862,0.833,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3826.929,2.0,91.786,63,Mercedes,MEDIUM,2.0,1,1.0,5.542222222218697,31,NoPit,True,0,7.0,5.553,0.691,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3827.387,2.0,92.136,31,Alpine,MEDIUM,2.0,1,1.0,75.68361111111153,4,NoPit,True,0,8.0,6.361,0.808,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3827.878,2.0,92.324,5,Aston Martin,MEDIUM,2.0,1,1.0,20.362499999999272,63,NoPit,True,0,9.0,7.008,0.679,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3828.616,2.0,92.329,14,Alpine,MEDIUM,2.0,1,1.0,53.68083333333652,5,NoPit,True,0,10.0,7.77,0.762,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3829.161,2.0,92.551,22,AlphaTauri,MEDIUM,2.0,1,1.0,8.296666666667079,14,NoPit,True,0,11.0,8.55,0.767,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3829.595,2.0,92.649,18,Aston Martin,MEDIUM,2.0,1,1.0,5.96083333333263,22,NoPit,True,0,12.0,9.082,0.532,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3830.146,2.0,93.725,47,Haas F1 Team,MEDIUM,2.0,1,1.0,14.836944444443361,24,NoPit,True,0,14.0,10.709,0.742,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3830.616,2.0,92.513,3,McLaren,MEDIUM,2.0,1,1.0,11.555833333334704,47,NoPit,True,0,13.0,9.967,0.885,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3830.987,2.0,93.406,24,Alfa Romeo,MEDIUM,2.0,1,1.0,66.59500000000389,18,NoPit,True,0,15.0,11.152,0.521,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3831.623,2.0,94.95,20,Haas F1 Team,HARD,2.0,1,1.0,39.0566666666582,3,NoPit,True,0,17.0,13.411,1.185,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3832.161,2.0,93.227,23,Williams,MEDIUM,2.0,1,1.0,20.84388888889407,20,NoPit,True,0,16.0,12.226,0.995,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3832.473,2.0,94.636,10,AlphaTauri,SOFT,2.0,1,1.0,20.877500000006876,6,NoPit,True,0,18.0,13.947,0.536,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3832.931,2.0,94.752,6,Williams,MEDIUM,2.0,1,1.0,37.12694444443787,23,NoPit,True,0,19.0,14.521,0.574,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3833.411,2.0,94.636,77,Alfa Romeo,HARD,2.0,1,1.0,36.20805555554671,10,NoPit,True,0,20.0,14.885,0.364,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.7,311,3.5
3913.162,3.0,89.968,1,Red Bull Racing,MEDIUM,3.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3914.253,3.0,90.272,11,Red Bull Racing,MEDIUM,3.0,1,1.0,77.25222222222874,1,NoPit,True,0,2.0,1.395,1.395,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3915.611,3.0,90.418,16,Ferrari,MEDIUM,3.0,1,1.0,27.868055555536557,11,NoPit,True,0,3.0,2.899,1.504,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3916.381,3.0,90.441,44,Mercedes,MEDIUM,3.0,1,1.0,58.081666666679666,16,NoPit,True,0,4.0,3.692,0.793,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3917.191,3.0,90.946,55,Ferrari,MEDIUM,3.0,1,1.0,46.03611111111786,44,NoPit,True,0,5.0,4.976,1.331,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3918.024,3.0,91.188,4,McLaren,MEDIUM,3.0,1,1.0,33.10416666666242,55,NoPit,True,0,6.0,6.082,1.075,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3918.715,3.0,91.189,63,Mercedes,MEDIUM,3.0,1,1.0,73.29833333332863,4,NoPit,True,0,7.0,6.774,0.692,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3919.523,3.0,91.385,31,Alpine,MEDIUM,3.0,1,1.0,27.72166666666999,63,NoPit,True,0,8.0,7.778,1.004,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3920.202,3.0,91.488,5,Aston Martin,MEDIUM,3.0,1,1.0,43.7872222222195,31,NoPit,True,0,9.0,8.56,0.782,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3920.945,3.0,91.539,14,Alpine,MEDIUM,3.0,1,1.0,37.163611111127466,5,NoPit,True,0,10.0,9.354,0.794,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3921.712,3.0,91.604,22,AlphaTauri,MEDIUM,3.0,1,1.0,10.273611111097125,14,NoPit,True,0,11.0,10.186,0.832,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3922.244,3.0,91.74,18,Aston Martin,MEDIUM,3.0,1,1.0,30.68166666668003,22,NoPit,True,0,12.0,10.854,0.668,0,22,Yas Island,58.0,2022,28.7,61.0,1013.5,False,34.9,319,2.7
3923.129,3.0,91.815,3,McLaren,MEDIUM,3.0,1,1.0,70.7883333333175,18,NoPit,True,0,13.0,11.814,0.96,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3923.871,3.0,92.196,47,Haas F1 Team,MEDIUM,3.0,1,1.0,36.868055555538376,24,NoPit,True,0,14.0,12.826,1.114,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3924.393,3.0,92.436,24,Alfa Romeo,MEDIUM,3.0,1,1.0,35.86277777780015,3,NoPit,True,0,15.0,13.613,0.787,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3925.388,3.0,92.356,23,Williams,MEDIUM,3.0,1,1.0,58.91416666666919,47,NoPit,True,0,16.0,14.614,0.915,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3926.573,3.0,93.566,20,Haas F1 Team,HARD,3.0,1,1.0,70.27833333331,23,NoPit,True,0,18.0,17.009,0.56,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3927.109,3.0,92.47,10,AlphaTauri,SOFT,3.0,1,1.0,58.45472222224271,20,NoPit,True,0,17.0,16.449,1.835,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3927.683,3.0,93.218,6,Williams,MEDIUM,3.0,1,1.0,6.348611111106948,10,NoPit,True,0,19.0,17.771,0.762,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
3928.047,3.0,93.43,77,Alfa Romeo,HARD,3.0,1,1.0,12.624166666655583,6,NoPit,True,0,20.0,18.347,0.576,0,22,Yas Island,58.0,2022,28.7,62.0,1013.4,False,34.9,290,3.2
4003.13,4.0,90.368,1,Red Bull Racing,MEDIUM,4.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,22,Yas Island,58.0,2022,28.6,62.0,1013.5,False,34.4,328,3.0
4004.525,4.0,90.879,11,Red Bull Racing,MEDIUM,4.0,1,1.0,2.4036111111454375,16,NoPit,True,0,2.0,1.906,1.906,0,22,Yas Island,58.0,2022,28.6,62.0,1013.5,False,34.4,328,3.0
