LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3716.649,1.0,,1,Red Bull Racing,SOFT,1.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,55,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,3.0,1.808,1.12,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,44,Mercedes,MEDIUM,1.0,1,1.0,,,OutLap,False,0,4.0,3.058,1.25,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,11,Red Bull Racing,SOFT,6.0,1,1.0,,,OutLap,False,0,5.0,4.069,1.011,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,63,Mercedes,MEDIUM,1.0,1,1.0,,,OutLap,False,0,7.0,5.288,0.476,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,4,McLaren,MEDIUM,1.0,1,1.0,,,OutLap,False,0,6.0,4.812,0.743,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,47,Haas F1 Team,MEDIUM,1.0,1,1.0,,,OutLap,False,0,10.0,6.795,0.566,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,22,AlphaTauri,SOFT,4.0,1,1.0,,,OutLap,False,0,11.0,7.569,0.774,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,18,Aston Martin,SOFT,1.0,1,1.0,,,OutLap,False,0,8.0,5.738,0.45,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,10,AlphaTauri,SOFT,4.0,1,1.0,,,OutLap,False,0,12.0,8.208,0.635,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,31,Alpine,SOFT,1.0,1,1.0,,,OutLap,False,0,9.0,6.229,0.491,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,14,Alpine,SOFT,1.0,1,1.0,,,OutLap,False,0,13.0,8.335,0.132,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,24,Alfa Romeo,SOFT,1.0,1,1.0,,,OutLap,False,0,14.0,8.796,0.461,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,23,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,0,16.0,9.398,0.113,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,77,Alfa Romeo,SOFT,1.0,1,1.0,,,OutLap,False,0,19.0,10.725,0.366,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
3716.649,1.0,,16,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,2.0,0.688,0.688,0,15,Zandvoort,72.0,2022,22.5,76.0,1017.2,False,32.1,85,1.5
