LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2560.279,1.0,,1,Red Bull Racing,MEDIUM,1.0,2,1.0,,,OutLap,False,0,2.0,1.064,1.064,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,63,Mercedes,MEDIUM,1.0,2,1.0,,,OutLap,False,0,6.0,4.645,0.58,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,11,Red Bull Racing,MEDIUM,1.0,2,1.0,,,OutLap,False,0,4.0,3.048,0.978,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,55,Ferrari,HARD,1.0,2,1.0,,,OutLap,False,0,18.0,11.663,0.074,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,14,Alpine,MEDIUM,1.0,2,1.0,,,OutLap,False,0,5.0,4.065,1.017,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,4,McLaren,MEDIUM,1.0,2,1.0,,,OutLap,False,0,7.0,5.189,0.544,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,31,Alpine,MEDIUM,1.0,2,1.0,,,OutLap,False,0,9.0,7.271,1.373,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,3,McLaren,MEDIUM,1.0,2,1.0,,,OutLap,False,0,8.0,5.898,0.709,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,18,Aston Martin,MEDIUM,3.0,2,1.0,,,OutLap,False,0,10.0,8.315,1.044,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,5,Aston Martin,MEDIUM,3.0,2,1.0,,,OutLap,False,0,11.0,8.89,0.544,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,10,AlphaTauri,HARD,1.0,2,1.0,,,OutLap,False,0,15.0,10.789,0.711,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,44,Mercedes,MEDIUM,1.0,2,1.0,,,OutLap,False,0,3.0,2.07,1.006,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,77,Alfa Romeo,HARD,1.0,2,1.0,,,OutLap,False,0,16.0,10.957,0.168,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,47,Haas F1 Team,MEDIUM,1.0,2,1.0,,,OutLap,False,0,14.0,10.078,0.225,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,24,Alfa Romeo,MEDIUM,1.0,2,1.0,,,OutLap,False,0,19.0,11.939,0.276,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,6,Williams,MEDIUM,1.0,2,1.0,,,OutLap,False,0,17.0,11.589,0.632,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,22,AlphaTauri,MEDIUM,1.0,2,1.0,,,OutLap,False,0,20.0,19.072,7.133,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,20,Haas F1 Team,MEDIUM,1.0,2,1.0,,,OutLap,False,0,13.0,9.853,0.402,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,23,Williams,MEDIUM,1.0,2,1.0,,,OutLap,False,0,12.0,9.451,0.588,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2560.279,1.0,,16,Ferrari,MEDIUM,1.0,2,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,12,Le Castellet,53.0,2022,30.3,43.0,968.0,False,51.1,122,2.0
2663.939,2.0,98.127,16,Ferrari,MEDIUM,2.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2665.003,2.0,98.33,1,Red Bull Racing,MEDIUM,2.0,1,1.0,94.87333333333027,16,NoPit,True,0,2.0,1.267,1.267,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2666.009,2.0,99.316,44,Mercedes,MEDIUM,2.0,1,1.0,79.65305555555642,1,NoPit,True,0,3.0,3.259,1.992,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2666.987,2.0,99.289,11,Red Bull Racing,MEDIUM,2.0,1,1.0,105.3427777777706,44,NoPit,True,0,4.0,4.21,0.951,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2668.004,2.0,99.9,14,Alpine,MEDIUM,2.0,1,1.0,27.81916666667439,11,NoPit,True,0,5.0,5.838,1.628,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2668.584,2.0,99.807,63,Mercedes,MEDIUM,2.0,1,1.0,51.63694444444263,14,NoPit,True,0,6.0,6.325,0.487,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2669.128,2.0,100.479,4,McLaren,MEDIUM,2.0,1,1.0,27.793611111111204,63,NoPit,True,0,7.0,7.541,1.216,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2669.837,2.0,100.948,3,McLaren,MEDIUM,2.0,1,1.0,44.46388888889214,4,NoPit,True,0,8.0,8.719,1.178,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2671.21,2.0,100.899,31,Alpine,MEDIUM,2.0,1,1.0,121.87138888888057,3,NoPit,True,0,9.0,10.043,1.324,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2672.254,2.0,100.753,18,Aston Martin,MEDIUM,4.0,1,1.0,35.527500000000146,31,NoPit,True,0,10.0,10.941,0.898,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2672.802,2.0,101.161,5,Aston Martin,MEDIUM,4.0,1,1.0,1.8058333333319752,20,NoPit,True,0,11.0,11.897,0.956,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2673.39,2.0,102.001,23,Williams,MEDIUM,2.0,1,1.0,14.265000000003056,47,NoPit,True,0,13.0,13.325,0.489,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2673.792,2.0,101.11,20,Haas F1 Team,MEDIUM,2.0,1,1.0,62.732222222221026,18,NoPit,True,0,12.0,12.836,0.939,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2674.017,2.0,101.579,47,Haas F1 Team,MEDIUM,2.0,1,1.0,51.90166666667392,5,NoPit,True,0,14.0,13.53,0.205,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2674.728,2.0,102.174,10,AlphaTauri,HARD,2.0,1,1.0,56.814722222217824,23,NoPit,True,0,15.0,14.836,1.306,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2674.896,2.0,102.929,77,Alfa Romeo,HARD,2.0,1,1.0,4.554166666665878,55,NoPit,True,0,17.0,15.759,0.868,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
2675.528,2.0,102.934,6,Williams,MEDIUM,2.0,1,1.0,21.84972222221859,77,NoPit,True,0,18.0,16.396,0.637,0,12,Le Castellet,53.0,2022,30.4,43.0,968.0,False,52.3,149,1.2
