LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3736.863,1.0,101.571,1,Red Bull Racing,MEDIUM,1.0,24,1.0,,,OutLap,False,0,3.0,3.717,1.342,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,108.052,18,Aston Martin,MEDIUM,2.0,24,1.0,,,OutLap,False,0,7.0,10.198,1.679,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,132.096,11,Red Bull Racing,HARD,1.0,24,1.0,,,OutLap,False,1,18.0,20.841,1.659,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,116.566,4,McLaren,MEDIUM,1.0,24,1.0,,,OutLap,False,0,11.0,18.712,2.79,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,111.408,27,Haas F1 Team,MEDIUM,1.0,24,1.0,,,OutLap,False,0,9.0,13.554,1.115,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,118.915,81,McLaren,MEDIUM,1.0,24,1.0,,,OutLap,False,0,13.0,21.061,0.889,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,129.967,24,Alfa Romeo,SOFT,1.0,24,1.0,,,OutLap,False,0,16.0,17.525,0.309,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,100.229,44,Mercedes,MEDIUM,1.0,24,1.0,,,OutLap,False,0,2.0,2.375,2.375,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,113.776,22,AlphaTauri,MEDIUM,1.0,24,1.0,,,OutLap,False,0,10.0,15.922,2.368,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,137.156,77,Alfa Romeo,SOFT,1.0,24,1.0,,,OutLap,False,1,19.0,21.375,0.534,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,103.866,55,Ferrari,MEDIUM,1.0,24,1.0,,,OutLap,False,0,4.0,6.012,2.295,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,110.293,10,Alpine,SOFT,1.0,24,1.0,,,OutLap,False,0,8.0,12.439,2.241,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,122.304,31,Alpine,SOFT,1.0,24,1.0,,,OutLap,False,0,15.0,10.778,0.269,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,119.887,21,AlphaTauri,HARD,1.0,24,1.0,,,OutLap,False,0,14.0,22.033,0.972,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,131.454,2,Williams,HARD,1.0,24,1.0,,,OutLap,False,0,17.0,19.182,0.562,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,118.026,20,Haas F1 Team,MEDIUM,1.0,24,1.0,,,OutLap,False,0,12.0,20.172,1.46,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,105.543,14,Aston Martin,MEDIUM,2.0,24,1.0,,,OutLap,False,0,5.0,7.689,1.677,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,106.373,23,Williams,MEDIUM,1.0,24,1.0,,,OutLap,False,0,6.0,8.519,0.83,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3736.863,1.0,97.854,63,Mercedes,MEDIUM,1.0,24,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,3,Melbourne,58.0,2023,17.4,53.0,1018.5,False,34.5,165,0.8
3835.0,2.0,133.298,63,Mercedes,MEDIUM,2.0,4,1.0,,,NoPit,False,0,1.0,0.0,0.0,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3837.375,2.0,132.287,44,Mercedes,MEDIUM,2.0,4,1.0,113.58666666666795,63,NoPit,False,0,2.0,1.364,1.364,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3838.717,2.0,132.105,1,Red Bull Racing,MEDIUM,2.0,4,1.0,69.5188888888888,44,NoPit,False,0,3.0,3.164,1.055,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3841.012,2.0,131.411,55,Ferrari,MEDIUM,2.0,4,1.0,111.18222222222539,1,NoPit,False,0,4.0,4.125,1.601,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3842.689,2.0,130.728,14,Aston Martin,MEDIUM,3.0,4,1.0,22.018055555555293,23,NoPit,False,0,5.0,5.887,1.112,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3843.519,2.0,130.798,23,Williams,MEDIUM,2.0,4,1.0,183.05083333332914,55,NoPit,False,0,6.0,6.019,0.9,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3845.198,2.0,131.142,18,Aston Martin,MEDIUM,3.0,4,1.0,125.57027777777148,14,NoPit,False,0,7.0,8.042,2.023,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3847.439,2.0,131.323,10,Alpine,SOFT,2.0,4,1.0,11.795000000007349,18,NoPit,False,0,8.0,10.464,2.422,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3848.554,2.0,131.316,27,Haas F1 Team,MEDIUM,2.0,4,1.0,67.94750000000022,10,NoPit,False,0,9.0,11.572,1.108,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3850.922,2.0,130.201,22,AlphaTauri,MEDIUM,2.0,4,1.0,160.72611111110746,27,NoPit,False,0,10.0,12.825,1.253,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
3853.712,2.0,127.813,4,McLaren,MEDIUM,2.0,4,1.0,168.64194444444638,22,NoPit,False,0,11.0,13.227,0.402,0,3,Melbourne,58.0,2023,17.4,52.0,1018.5,False,34.4,0,1.2
