LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,RoundNumber,Track,TotalLaps,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3735.963,1.0,83.935,1,Red Bull Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,1.0,0.0,0.0,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,90.355,11,Red Bull Racing,MEDIUM,1.0,1,1.0,,,OutLap,False,0,12.0,6.42,0.28,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,89.482,24,Alfa Romeo,SOFT,1.0,1,1.0,,,OutLap,False,0,10.0,5.547,0.349,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,92.66,77,Alfa Romeo,SOFT,1.0,1,1.0,,,OutLap,False,0,18.0,8.725,0.385,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,89.133,27,Haas F1 Team,SOFT,4.0,1,1.0,,,OutLap,False,0,9.0,5.198,0.599,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,91.543,10,Alpine,SOFT,4.0,1,1.0,,,OutLap,False,0,15.0,7.608,0.115,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,91.193,20,Haas F1 Team,SOFT,1.0,1,1.0,,,OutLap,False,0,14.0,7.258,0.349,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,88.534,63,Mercedes,SOFT,1.0,1,1.0,,,OutLap,False,0,8.0,4.599,0.495,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,85.739,18,Aston Martin,SOFT,4.0,1,1.0,,,OutLap,False,0,3.0,1.804,0.725,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,95.79,16,Ferrari,HARD,1.0,1,1.0,,,OutLap,False,1,20.0,11.855,1.489,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,91.428,4,McLaren,SOFT,3.0,1,1.0,,,OutLap,False,0,6.0,3.947,0.879,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,90.075,81,McLaren,SOFT,3.0,1,1.0,,,OutLap,False,0,11.0,6.14,0.593,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,85.014,55,Ferrari,SOFT,4.0,1,1.0,,,OutLap,False,0,2.0,1.079,1.079,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,92.275,23,Williams,SOFT,1.0,1,1.0,,,OutLap,False,0,17.0,8.34,0.478,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,94.301,2,Williams,MEDIUM,1.0,1,1.0,,,OutLap,False,1,19.0,10.366,1.641,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,90.844,22,AlphaTauri,SOFT,1.0,1,1.0,,,OutLap,False,0,13.0,6.909,0.489,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,87.129,31,Alpine,SOFT,4.0,1,1.0,,,OutLap,False,0,5.0,3.194,0.753,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,88.039,14,Aston Martin,SOFT,4.0,1,1.0,,,OutLap,False,0,7.0,4.104,0.91,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,86.376,44,Mercedes,SOFT,4.0,1,1.0,,,OutLap,False,0,4.0,2.441,0.637,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3735.963,1.0,91.797,21,AlphaTauri,SOFT,1.0,1,1.0,,,OutLap,False,0,16.0,7.862,0.254,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.7,236,0.6
3820.152,2.0,80.402,1,Red Bull Racing,MEDIUM,2.0,1,1.0,,,NoPit,True,0,1.0,0.0,0.0,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3821.231,2.0,80.852,55,Ferrari,SOFT,5.0,1,1.0,71.36861111110375,1,NoPit,True,0,2.0,1.529,1.529,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3821.956,2.0,80.967,18,Aston Martin,SOFT,5.0,1,1.0,29.9802777777777,55,NoPit,True,0,3.0,2.369,0.84,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3822.593,2.0,81.678,44,Mercedes,SOFT,5.0,1,1.0,75.38361111111226,18,NoPit,True,0,4.0,3.717,1.348,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3823.346,2.0,82.0,31,Alpine,SOFT,5.0,1,1.0,47.422499999996944,44,NoPit,True,0,5.0,4.739,1.088,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3824.099,2.0,116.0,4,McLaren,HARD,1.0,1,2.0,37.24027777777246,27,OutLap,False,1,20.0,43.08,29.663,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3824.256,2.0,81.792,14,Aston Martin,SOFT,5.0,1,1.0,42.90777777778567,31,NoPit,True,0,6.0,5.494,0.702,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3824.751,2.0,81.934,63,Mercedes,SOFT,2.0,1,1.0,13.105833333328519,14,NoPit,True,0,7.0,6.131,0.637,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3825.35,2.0,81.912,27,Haas F1 Team,SOFT,5.0,1,1.0,19.258055555556894,24,NoPit,True,0,8.0,6.643,0.528,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3825.699,2.0,81.832,24,Alfa Romeo,SOFT,2.0,1,1.0,67.76444444444496,63,NoPit,True,0,9.0,6.977,0.269,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3826.292,2.0,82.916,81,McLaren,SOFT,4.0,1,1.0,0.6291666666675155,11,NoPit,True,0,11.0,8.654,0.912,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3826.572,2.0,81.724,11,Red Bull Racing,MEDIUM,2.0,1,1.0,55.57499999999709,27,NoPit,True,0,10.0,7.742,0.765,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3827.061,2.0,82.459,22,AlphaTauri,SOFT,2.0,1,1.0,4.225833333332048,81,NoPit,True,0,12.0,8.966,0.312,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3827.41,2.0,82.725,20,Haas F1 Team,SOFT,2.0,1,1.0,55.337500000003274,22,NoPit,True,0,13.0,9.581,0.615,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
3827.76,2.0,82.874,10,Alpine,SOFT,5.0,1,1.0,19.76583333333565,23,NoPit,True,0,14.0,10.08,0.499,0,7,Barcelona,66.0,2023,22.6,64.0,1001.0,False,33.4,101,0.6
